alpha	total_observations	power	effect_size	difference	metric	column
0.05	660	0.0707637417866881	0.03299885192552917		cohens_d	skin_condition
0.1	660	0.13027126064319955	0.03299885192552917		cohens_d	skin_condition
0.01	700	0.01746453316388065	0.03299885192552917		cohens_d	skin_condition
0.05	700	0.0720404071148703	0.03299885192552917		cohens_d	skin_condition
0.1	700	0.13209941759919025	0.03299885192552917		cohens_d	skin_condition
0.01	740	0.01791708440849804	0.03299885192552917		cohens_d	skin_condition
0.05	740	0.07331861728133393	0.03299885192552917		cohens_d	skin_condition
0.1	740	0.13392630355661167	0.03299885192552917		cohens_d	skin_condition
0.01	780	0.01837219893001451	0.03299885192552917		cohens_d	skin_condition
0.05	780	0.07459835256852713	0.03299885192552917		cohens_d	skin_condition
0.1	780	0.1357519035716706	0.03299885192552917		cohens_d	skin_condition
0.01	820	0.018829870432668445	0.03299885192552917		cohens_d	skin_condition
0.05	820	0.07587959334012201	0.03299885192552917		cohens_d	skin_condition
0.1	820	0.13757620279134453	0.03299885192552917		cohens_d	skin_condition
0.01	860	0.01929009259139851	0.03299885192552917		cohens_d	skin_condition
0.05	860	0.07716231998367179	0.03299885192552917		cohens_d	skin_condition
0.1	860	0.1393991864577901	0.03299885192552917		cohens_d	skin_condition
0.01	900	0.019752859059676078	0.03299885192552917		cohens_d	skin_condition
0.05	900	0.07844651299845941	0.03299885192552917		cohens_d	skin_condition
0.1	900	0.14122083994598644	0.03299885192552917		cohens_d	skin_condition
0.01	940	0.020218163469431616	0.03299885192552917		cohens_d	skin_condition
0.05	940	0.0797321529998856	0.03299885192552917		cohens_d	skin_condition
0.1	940	0.1430411486479777	0.03299885192552917		cohens_d	skin_condition
0.01	980	0.02068599943217342	0.03299885192552917		cohens_d	skin_condition
0.05	980	0.08101922053293913	0.03299885192552917		cohens_d	skin_condition
0.1	980	0.14486009813892226	0.03299885192552917		cohens_d	skin_condition
0.01	1020	0.02115636053860832	0.03299885192552917		cohens_d	skin_condition
0.05	1020	0.08230769635201111	0.03299885192552917		cohens_d	skin_condition
0.1	1020	0.14667767417284674	0.03299885192552917		cohens_d	skin_condition
0.01	1060	0.02162924035937006	0.03299885192552917		cohens_d	skin_condition
0.05	1060	0.08359756124861695	0.03299885192552917		cohens_d	skin_condition
0.1	1060	0.14849386234906045	0.03299885192552917		cohens_d	skin_condition
0.01	1100	0.02210463244535685	0.03299885192552917		cohens_d	skin_condition
0.05	1100	0.08488879609305511	0.03299885192552917		cohens_d	skin_condition
0.1	1100	0.15030864861520013	0.03299885192552917		cohens_d	skin_condition
0.01	1140	0.02258253032766476	0.03299885192552917		cohens_d	skin_condition
0.05	1140	0.08618138183379431	0.03299885192552917		cohens_d	skin_condition
0.1	1140	0.15212201895252425	0.03299885192552917		cohens_d	skin_condition
0.01	1180	0.023062927518357774	0.03299885192552917		cohens_d	skin_condition
0.05	1180	0.08747529949937614	0.03299885192552917		cohens_d	skin_condition
0.1	1180	0.1539339594520534	0.03299885192552917		cohens_d	skin_condition
0.01	1220	0.023545817510220616	0.03299885192552917		cohens_d	skin_condition
0.05	1220	0.0887705301971504	0.03299885192552917		cohens_d	skin_condition
0.1	1220	0.15574445631234515	0.03299885192552917		cohens_d	skin_condition
0.01	1260	0.02403119377742373	0.03299885192552917		cohens_d	skin_condition
0.05	1260	0.09006705511466757	0.03299885192552917		cohens_d	skin_condition
0.1	1260	0.15755349584129505	0.03299885192552917		cohens_d	skin_condition
0.01	1300	0.024519049775539245	0.03299885192552917		cohens_d	skin_condition
0.05	1300	0.0913648555191198	0.03299885192552917		cohens_d	skin_condition
0.1	1300	0.1593610644550641	0.03299885192552917		cohens_d	skin_condition
0.01	1340	0.025009378952396074	0.03299885192552917		cohens_d	skin_condition
0.05	1340	0.09266391275718085	0.03299885192552917		cohens_d	skin_condition
0.1	1340	0.16116714867738371	0.03299885192552917		cohens_d	skin_condition
0.01	1380	0.02550217470851124	0.03299885192552917		cohens_d	skin_condition
0.05	1380	0.09396420825567703	0.03299885192552917		cohens_d	skin_condition
0.1	1380	0.16297173514042074	0.03299885192552917		cohens_d	skin_condition
0.01	1420	0.025997430453738073	0.03299885192552917		cohens_d	skin_condition
0.05	1420	0.09526572352129052	0.03299885192552917		cohens_d	skin_condition
0.1	1420	0.16477481058388774	0.03299885192552917		cohens_d	skin_condition
0.01	1460	0.02649513957180053	0.03299885192552917		cohens_d	skin_condition
0.05	1460	0.09656844014031424	0.03299885192552917		cohens_d	skin_condition
0.1	1460	0.16657636185455665	0.03299885192552917		cohens_d	skin_condition
0.01	1500	0.02699529542908337	0.03299885192552917		cohens_d	skin_condition
0.05	1500	0.09787233977890622	0.03299885192552917		cohens_d	skin_condition
0.1	1500	0.16837637590617593	0.03299885192552917		cohens_d	skin_condition
0.01	20	0.010040210552077156	0.0106316158280989		cohens_f	chickenpox
0.05	20	0.05014272068162562	0.0106316158280989		cohens_f	chickenpox
0.1	20	0.10022800749157645	0.0106316158280989		cohens_f	chickenpox
0.01	60	0.010144493140507471	0.0106316158280989		cohens_f	chickenpox
0.05	60	0.050482521554571114	0.0106316158280989		cohens_f	chickenpox
0.1	60	0.10075026881072469	0.0106316158280989		cohens_f	chickenpox
0.01	100	0.010249181922412087	0.0106316158280989		cohens_f	chickenpox
0.05	100	0.050822042819048896	0.0106316158280989		cohens_f	chickenpox
0.1	100	0.10127144653241915	0.0106316158280989		cohens_f	chickenpox
0.01	140	0.010354203734553424	0.0106316158280989		cohens_f	chickenpox
0.05	140	0.05116185673051121	0.0106316158280989		cohens_f	chickenpox
0.1	140	0.10179263224913881	0.0106316158280989		cohens_f	chickenpox
0.01	180	0.010459561038312692	0.0106316158280989		cohens_f	chickenpox
0.05	180	0.05150203074776327	0.0106316158280989		cohens_f	chickenpox
0.1	180	0.10231394323883403	0.0106316158280989		cohens_f	chickenpox
0.01	220	0.01056526022575588	0.0106316158280989		cohens_f	chickenpox
0.05	220	0.05184258553079801	0.0106316158280989		cohens_f	chickenpox
0.1	220	0.10283541192507373	0.0106316158280989		cohens_f	chickenpox
0.01	260	0.010671308381005273	0.0106316158280989		cohens_f	chickenpox
0.05	260	0.052183530891126706	0.0106316158280989		cohens_f	chickenpox
0.1	260	0.1033570513886537	0.0106316158280989		cohens_f	chickenpox
0.01	300	0.010777167590568348	0.0106316158280989		cohens_f	chickenpox
0.05	300	0.05252487300077879	0.0106316158280989		cohens_f	chickenpox
0.1	300	0.10387886829571413	0.0106316158280989		cohens_f	chickenpox
0.01	340	0.010883689828640852	0.0106316158280989		cohens_f	chickenpox
0.05	340	0.05286620152091037	0.0106316158280989		cohens_f	chickenpox
0.1	340	0.10440086667289328	0.0106316158280989		cohens_f	chickenpox
0.01	380	0.01099051882457669	0.0106316158280989		cohens_f	chickenpox
0.05	380	0.05320818830867646	0.0106316158280989		cohens_f	chickenpox
0.1	380	0.1049227182132687	0.0106316158280989		cohens_f	chickenpox
0.01	420	0.011097654616827102	0.0106316158280989		cohens_f	chickenpox
0.05	420	0.05355054678100579	0.0106316158280989		cohens_f	chickenpox
0.1	420	0.10544497302638933	0.0106316158280989		cohens_f	chickenpox
0.01	460	0.011205097264760377	0.0106316158280989		cohens_f	chickenpox
0.05	460	0.05389327651473286	0.0106316158280989		cohens_f	chickenpox
0.1	460	0.10596739252378318	0.0106316158280989		cohens_f	chickenpox
0.01	500	0.011312846844342417	0.0106316158280989		cohens_f	chickenpox
0.05	500	0.05423637696637995	0.0106316158280989		cohens_f	chickenpox
0.1	500	0.10648997609810018	0.0106316158280989		cohens_f	chickenpox
0.01	540	0.011420903445721553	0.0106316158280989		cohens_f	chickenpox
0.05	540	0.05457984751839795	0.0106316158280989		cohens_f	chickenpox
0.1	540	0.1070127230080602	0.0106316158280989		cohens_f	chickenpox
0.01	580	0.011529267171843549	0.0106316158280989		cohens_f	chickenpox
0.05	580	0.054923687506383656	0.0106316158280989		cohens_f	chickenpox
0.1	580	0.10753563242616182	0.0106316158280989		cohens_f	chickenpox
0.01	620	0.011637938137552317	0.0106316158280989		cohens_f	chickenpox
0.05	620	0.055267896235600245	0.0106316158280989		cohens_f	chickenpox
0.1	620	0.1080587034675986	0.0106316158280989		cohens_f	chickenpox
0.01	660	0.011746916468984514	0.0106316158280989		cohens_f	chickenpox
0.05	660	0.05561247299151251	0.0106316158280989		cohens_f	chickenpox
0.1	660	0.10858193520873305	0.0106316158280989		cohens_f	chickenpox
0.01	700	0.011856202303176966	0.0106316158280989		cohens_f	chickenpox
0.05	700	0.055957417046860636	0.0106316158280989		cohens_f	chickenpox
0.1	700	0.10910532669948791	0.0106316158280989		cohens_f	chickenpox
0.01	740	0.011965795787715283	0.0106316158280989		cohens_f	chickenpox
0.05	740	0.0563027276661523	0.0106316158280989		cohens_f	chickenpox
0.1	740	0.10962887697119494	0.0106316158280989		cohens_f	chickenpox
0.01	780	0.01207569708050904	0.0106316158280989		cohens_f	chickenpox
0.05	780	0.05664840410904037	0.0106316158280989		cohens_f	chickenpox
0.1	780	0.11015258504259451	0.0106316158280989		cohens_f	chickenpox
0.01	820	0.012185906349542641	0.0106316158280989		cohens_f	chickenpox
0.05	820	0.05699444563232514	0.0106316158280989		cohens_f	chickenpox
